x,y,channel,bit_index,payload_bit,byte_index
0,0,R,0,0,0
0,0,G,1,1,0
0,0,B,2,0,0
1,0,R,3,1,0
1,0,G,4,0,0
1,0,B,5,0,0
2,0,R,6,1,0
2,0,G,7,1,0
2,0,B,8,0,1
3,0,R,9,1,1
3,0,G,10,0,1
3,0,B,11,1,1
4,0,R,12,0,1
4,0,G,13,1,1
4,0,B,14,0,1
5,0,R,15,0,1
5,0,G,16,0,2
5,0,B,17,1,2
6,0,R,18,0,2
6,0,G,19,0,2
6,0,B,20,0,2
7,0,R,21,1,2
7,0,G,22,0,2
7,0,B,23,1,2
8,0,R,24,0,3
8,0,G,25,1,3
8,0,B,26,0,3
9,0,R,27,0,3
9,0,G,28,0,3
9,0,B,29,1,3
10,0,R,30,1,3
10,0,G,31,1,3
10,0,B,32,0,4
11,0,R,33,1,4
11,0,G,34,0,4
11,0,B,35,0,4
12,0,R,36,1,4
12,0,G,37,1,4
12,0,B,38,1,4
13,0,R,39,1,4
13,0,G,40,0,5
13,0,B,41,1,5
14,0,R,42,0,5
14,0,G,43,0,5
14,0,B,44,0,5
15,0,R,45,1,5
15,0,G,46,0,5
15,0,B,47,0,5
16,0,R,48,0,6
16,0,G,49,1,6
16,0,B,50,0,6
17,0,R,51,0,6
17,0,G,52,0,6
17,0,B,53,1,6
18,0,R,54,0,6
18,0,G,55,1,6
18,0,B,56,0,7
19,0,R,57,1,7
19,0,G,58,0,7
19,0,B,59,1,7
20,0,R,60,0,7
20,0,G,61,1,7
20,0,B,62,0,7
21,0,R,63,0,7
21,0,G,64,0,8
21,0,B,65,1,8
22,0,R,66,0,8
22,0,G,67,0,8
22,0,B,68,0,8
23,0,R,69,1,8
23,0,G,70,0,8
23,0,B,71,1,8
24,0,R,72,0,9
24,0,G,73,1,9
24,0,B,74,0,9
25,0,R,75,0,9
25,0,G,76,0,9
25,0,B,77,0,9
26,0,R,78,1,9
26,0,G,79,1,9
26,0,B,80,0,10
27,0,R,81,1,10
27,0,G,82,0,10
27,0,B,83,1,10
28,0,R,84,0,10
28,0,G,85,1,10
28,0,B,86,0,10
29,0,R,87,0,10
29,0,G,88,0,11
29,0,B,89,1,11
30,0,R,90,1,11
30,0,G,91,1,11
30,0,B,92,0,11
31,0,R,93,1,11
31,0,G,94,1,11
31,0,B,95,0,11
32,0,R,96,0,12
32,0,G,97,0,12
32,0,B,98,1,12
33,0,R,99,1,12
33,0,G,100,0,12
33,0,B,101,0,12
34,0,R,102,0,12
34,0,G,103,1,12
34,0,B,104,0,13
35,0,R,105,0,13
35,0,G,106,0,13
35,0,B,107,0,13
36,0,R,108,0,13
36,0,G,109,0,13
36,0,B,110,0,13
37,0,R,111,0,13
37,0,G,112,0,14
37,0,B,113,0,14
38,0,R,114,0,14
38,0,G,115,0,14
38,0,B,116,0,14
39,0,R,117,0,14
39,0,G,118,0,14
39,0,B,119,0,14
40,0,R,120,0,15
40,0,G,121,0,15
40,0,B,122,0,15
41,0,R,123,0,15
41,0,G,124,0,15
41,0,B,125,0,15
42,0,R,126,0,15
42,0,G,127,1,15
42,0,B,128,0,16
43,0,R,129,1,16
43,0,G,130,0,16
43,0,B,131,1,16
44,0,R,132,0,16
44,0,G,133,0,16
44,0,B,134,1,16
45,0,R,135,1,16
45,0,G,136,0,17
45,0,B,137,1,17
46,0,R,138,1,17
46,0,G,139,1,17
46,0,B,140,1,17
47,0,R,141,0,17
47,0,G,142,1,17
47,0,B,143,1,17
48,0,R,144,0,18
48,0,G,145,0,18
48,0,B,146,1,18
49,0,R,147,0,18
49,0,G,148,0,18
49,0,B,149,0,18
50,0,R,150,1,18
50,0,G,151,0,18
50,0,B,152,0,19
51,0,R,153,1,19
51,0,G,154,1,19
51,0,B,155,1,19
52,0,R,156,0,19
52,0,G,157,1,19
52,0,B,158,1,19
53,0,R,159,0,19
53,0,G,160,0,20
53,0,B,161,1,20
54,0,R,162,1,20
54,0,G,163,0,20
54,0,B,164,0,20
55,0,R,165,1,20
55,0,G,166,0,20
55,0,B,167,1,20
56,0,R,168,0,21
56,0,G,169,1,21
56,0,B,170,1,21
57,0,R,171,1,21
57,0,G,172,0,21
57,0,B,173,0,21
58,0,R,174,1,21
58,0,G,175,0,21
58,0,B,176,0,22
59,0,R,177,1,22
59,0,G,178,1,22
59,0,B,179,1,22
60,0,R,180,0,22
60,0,G,181,0,22
60,0,B,182,1,22
61,0,R,183,1,22
61,0,G,184,0,23
61,0,B,185,1,23
62,0,R,186,1,23
62,0,G,187,0,23
62,0,B,188,1,23
63,0,R,189,0,23
63,0,G,190,0,23
63,0,B,191,1,23
64,0,R,192,0,24
64,0,G,193,1,24
64,0,B,194,1,24
65,0,R,195,0,24
65,0,G,196,1,24
65,0,B,197,1,24
66,0,R,198,1,24
66,0,G,199,1,24
66,0,B,200,0,25
67,0,R,201,1,25
67,0,G,202,1,25
67,0,B,203,0,25
68,0,R,204,1,25
68,0,G,205,1,25
68,0,B,206,1,25
69,0,R,207,0,25
69,0,G,208,0,26
69,0,B,209,0,26
70,0,R,210,1,26
70,0,G,211,0,26
70,0,B,212,0,26
71,0,R,213,0,26
71,0,G,214,1,26
71,0,B,215,0,26
72,0,R,216,0,27
72,0,G,217,0,27
72,0,B,218,1,27
73,0,R,219,1,27
73,0,G,220,1,27
73,0,B,221,0,27
74,0,R,222,1,27
74,0,G,223,0,27
74,0,B,224,0,28
75,0,R,225,0,28
75,0,G,226,1,28
75,0,B,227,0,28
76,0,R,228,0,28
76,0,G,229,0,28
76,0,B,230,0,28
77,0,R,231,0,28
77,0,G,232,0,29
77,0,B,233,0,29
78,0,R,234,1,29
78,0,G,235,0,29
78,0,B,236,0,29
79,0,R,237,0,29
79,0,G,238,1,29
79,0,B,239,0,29
80,0,R,240,0,30
80,0,G,241,0,30
80,0,B,242,1,30
81,0,R,243,1,30
81,0,G,244,0,30
81,0,B,245,0,30
82,0,R,246,0,30
82,0,G,247,1,30
82,0,B,248,0,31
83,0,R,249,0,31
83,0,G,250,1,31
83,0,B,251,0,31
84,0,R,252,1,31
84,0,G,253,1,31
